Date,Price,Open,High,Low,Change %
2022-09-11,1.0015,1.008,1.0199,0.9944,-0.24
2022-09-18,0.969,1.0012,1.0051,0.9668,-3.25
2022-09-25,0.9799,0.9679,0.9855,0.9535,1.12
2022-10-02,0.9741,0.98,1.0,0.9725,-0.59
2022-10-09,0.9719,0.9736,0.9809,0.9632,-0.23
2022-10-16,0.986,0.9726,0.9876,0.9704,1.45
2022-10-23,0.9963,0.9867,1.0094,0.9807,1.04
2022-10-30,0.996,0.9947,0.9977,0.9729,-0.03
2022-11-06,1.0352,0.9911,1.0365,0.9899,3.94
2022-11-13,1.0324,1.0366,1.0481,1.0271,-0.27
2022-11-20,1.0395,1.0318,1.045,1.0223,0.69
2022-11-27,1.0538,1.0382,1.0546,1.0289,1.38
2022-12-04,1.053,1.0517,1.0596,1.0443,-0.08
2022-12-11,1.0582,1.0528,1.0737,1.0506,0.49
2022-12-18,1.0614,1.0591,1.066,1.0573,0.3
2022-12-25,1.0702,1.0611,1.0714,1.0604,0.83
2023-01-01,1.0644,1.0702,1.0708,1.0483,-0.54
2023-01-08,1.0828,1.0637,1.0869,1.0636,1.73
2023-01-15,1.0855,1.0834,1.0889,1.0766,0.25
2023-01-22,1.0867,1.086,1.093,1.0834,0.11
2023-01-29,1.0793,1.0875,1.1034,1.0791,-0.68
2023-02-05,1.0675,1.079,1.0799,1.0666,-1.09
2023-02-12,1.0694,1.0679,1.0805,1.0612,0.18
2023-02-19,1.0546,1.0688,1.0705,1.0536,-1.38
2023-02-26,1.0632,1.0541,1.0692,1.0532,0.82
2023-03-05,1.0643,1.0619,1.0702,1.0524,0.1
2023-03-12,1.0666,1.0647,1.0761,1.0516,0.22
2023-03-19,1.0759,1.0697,1.0931,1.0631,0.87
2023-03-26,1.0839,1.0767,1.0927,1.0745,0.74
2023-04-02,1.0897,1.0847,1.0974,1.0788,0.54
2023-04-09,1.1,1.0901,1.1077,1.0831,0.95
2023-04-16,1.0987,1.099,1.1,1.0908,-0.12
2023-04-23,1.102,1.0991,1.1096,1.0962,0.3
2023-04-30,1.1017,1.1035,1.1092,1.0941,-0.03
2023-05-07,1.0848,1.1033,1.1055,1.0848,-1.53
2023-05-14,1.0802,1.0856,1.0905,1.076,-0.42
2023-05-21,1.0724,1.0814,1.0832,1.0701,-0.72
2023-05-28,1.0706,1.0726,1.078,1.0634,-0.17
2023-06-04,1.0747,1.0712,1.0788,1.0667,0.38
2023-06-11,1.0933,1.0751,1.0971,1.0733,1.73
2023-06-18,1.0889,1.0942,1.1012,1.0843,-0.4
2023-06-25,1.091,1.0897,1.0977,1.0834,0.19
2023-07-02,1.0967,1.0911,1.0975,1.0833,0.52
2023-07-09,1.1227,1.0971,1.1245,1.0943,2.37
2023-07-16,1.1123,1.1235,1.1277,1.1107,-0.93
2023-07-23,1.1015,1.1127,1.115,1.0943,-0.97
2023-07-30,1.101,1.1023,1.1047,1.0912,-0.05
2023-08-06,1.0944,1.1018,1.1065,1.0928,-0.6
2023-08-13,1.0865,1.0953,1.0961,1.0845,-0.72
2023-08-20,1.08,1.0878,1.0932,1.0766,-0.6
2023-08-27,1.0773,1.0801,1.0947,1.0771,-0.25
2023-09-03,1.0699,1.0777,1.081,1.0686,-0.69
2023-09-10,1.0655,1.0716,1.0769,1.0631,-0.41
2023-09-17,1.0652,1.0663,1.0738,1.0614,-0.03
2023-09-24,1.057,1.0655,1.0656,1.0488,-0.77
2023-10-01,1.0586,1.0568,1.0601,1.0448,0.15
2023-10-08,1.0509,1.0563,1.064,1.0495,-0.73
2023-10-15,1.0593,1.0507,1.0618,1.0507,0.8
2023-10-22,1.0564,1.0594,1.0695,1.0522,-0.27
